ACTIVITY,ALogP98,ES_Sum_dO,ES_Sum_sCH3,ES_Sum_ssCH2,Molecular_Solubility,HBA_Count,NPlusO_Count,Num_Atoms,Num_Hydrogens,Num_RotatableBonds,Num_DoubleBonds,Num_AliphaticDoubleBonds,Molecular_FractionalPolarSurfaceArea,BIC,IAC_Mean,IC,JX
0,0.777,0.0,5.803,1.446,-0.883,2,2,8,14,4,0,0,0.126,0.80146,1.24067,2.25,2.69601
0,-0.183,8.805,1.444,0.0,0.168,1,1,3,4,0,1,1,0.286,1.0,1.37878,1.58496,2.04654
0,3.313,0.0,4.116,4.727,-4.081,2,2,16,22,8,3,0,0.075,0.74286,1.21081,3.15563,1.98977
0,3.24,0.0,10.781,3.83,-3.227,2,2,14,26,8,0,0,0.075,0.57316,1.14115,2.12095,3.08772
0,2.225,0.0,6.017,3.537,-2.739,2,2,12,20,7,1,1,0.089,0.79649,1.19819,2.85538,2.97687
0,2.857,0.0,4.039,3.466,-3.585,2,2,15,20,7,3,0,0.08,0.76497,1.22801,3.18989,2.03266
0,-1.679,8.999,1.083,0.0,0.122,0,2,4,3,0,1,1,0.527,0.75,1.55665,1.5,2.57006
0,-0.195,19.622,2.363,0.0,-0.587,3,3,7,6,2,2,2,0.379,0.65007,1.52623,1.95021,3.0326
0,-0.292,9.893,2.798,0.0,-0.281,1,2,6,8,1,1,1,0.347,0.87104,1.37878,2.25162,3.1016
0,-0.104,9.444,3.055,0.0,-0.118,1,1,4,6,0,1,1,0.217,0.75,1.29546,1.5,2.67924
0,-0.702,0.0,2.708,0.0,0.153,2,4,7,8,2,0,0,0.512,0.75444,1.45656,1.95021,2.99694
0,1.819,21.406,2.941,1.28,-3.077,3,3,15,14,5,5,2,0.2,0.62631,1.37255,2.70689,2.48506
0,4.485,11.895,12.888,2.192,-5.952,1,1,18,24,2,4,1,0.061,0.65765,1.11788,2.97493,2.69588
0,0.964,10.819,5.167,0.0,-2.138,2,2,10,10,1,3,1,0.194,0.70479,1.36096,2.64643,3.03607
0,1.432,10.886,5.604,0.0,-2.914,1,1,10,10,1,3,1,0.275,0.70479,1.46096,2.64643,3.05039
0,0.646,10.922,3.457,0.752,-1.781,3,3,11,10,2,4,1,0.257,0.79239,1.57235,3.09579,3.01009
0,-0.021,10.763,3.25,0.0,-1.406,3,3,10,8,1,4,1,0.284,0.71491,1.63373,2.72192,3.03168
0,0.965,10.412,1.471,0.0,-1.257,2,2,8,6,1,3,1,0.258,0.7095,1.44881,2.5,2.79306
0,1.11,10.564,3.296,0.0,-1.707,2,2,9,8,1,3,1,0.222,0.74796,1.40208,2.72548,2.85147
0,0.175,10.707,3.244,0.0,-1.413,3,3,10,8,1,4,1,0.285,0.76744,1.63373,2.92192,2.95088
0,0.847,10.582,1.502,0.0,-1.416,2,2,9,7,1,4,1,0.23,0.6538,1.54356,2.41938,2.89656
0,0.419,10.605,1.524,0.0,-1.414,2,2,9,7,1,4,1,0.229,0.6538,1.54356,2.41938,2.90338
0,0.34,10.454,1.512,0.0,-1.351,2,2,8,5,1,3,1,0.456,0.7095,1.91434,2.5,2.75831
0,-4.759,30.137,0.0,-0.804,-1.318,0,6,12,3,4,4,4,0.649,0.71475,1.52192,2.79248,4.29118
0,-2.395,19.793,0.0,1.017,-0.781,0,4,10,8,5,2,2,0.492,0.67118,1.53049,2.32192,2.91248
0,-2.369,0.0,3.093,-0.17,0.14,5,9,23,24,4,0,0,0.406,0.66494,1.47221,3.08792,1.59929
0,-3.397,9.559,0.0,0.662,0.395,0,3,6,7,2,1,1,0.616,1.0,1.66918,2.58496,2.6637
0,1.555,11.274,0.0,0.201,-2.212,2,3,13,11,4,5,2,0.281,0.81362,1.53191,3.39274,2.66722
0,1.761,10.531,1.939,1.683,-1.446,2,2,9,12,5,2,2,0.176,0.88734,1.31274,2.9477,2.98862
0,2.77,11.018,0.0,0.247,-3.407,2,2,14,12,5,6,3,0.134,0.73624,1.31432,3.182,2.40836
0,3.009,11.2,0.0,7.238,-2.992,2,2,13,18,5,2,2,0.135,0.75991,1.24089,2.96891,2.07429
0,3.922,11.173,0.0,9.994,-4.041,2,2,15,22,7,2,2,0.116,0.66224,1.20369,2.70689,1.94036
0,4.834,11.196,0.0,12.855,-5.122,2,2,17,26,9,2,2,0.102,0.60897,1.17475,2.58688,1.8517
0,3.465,11.174,0.0,8.594,-3.51,2,2,14,20,6,2,2,0.125,0.68835,1.22104,2.75343,2.00019
0,4.378,11.183,0.0,11.418,-4.579,2,2,16,24,8,2,2,0.108,0.63535,1.18837,2.64939,1.89169
0,2.563,0.0,3.012,0.715,-2.412,2,3,14,14,4,4,1,0.185,0.77601,1.37479,3.23592,3.04298
0,2.619,0.0,0.0,2.052,-2.596,0,0,8,10,5,2,2,0.324,0.63092,1.35164,2.0,2.53134
0,2.679,11.094,3.978,2.036,-2.176,2,2,11,16,6,2,2,0.144,0.86355,1.2538,3.09579,3.53414
0,1.697,10.9,0.0,0.207,-1.841,3,3,11,8,4,4,2,0.253,0.78291,1.47135,3.09579,2.3448
0,3.129,10.895,2.148,5.361,-2.893,2,2,12,18,8,2,2,0.133,0.81667,1.23095,3.02205,3.0179
0,2.673,10.806,2.106,4.052,-2.387,2,2,11,16,7,2,2,0.145,0.86355,1.2538,3.09579,3.01976
0,4.349,11.608,6.739,3.704,-5.106,1,1,17,24,5,4,4,0.064,0.81334,1.11269,3.57246,2.65677
0,2.012,10.742,3.962,0.818,-1.723,2,2,10,14,5,2,2,0.157,0.90243,1.28067,3.12192,3.18494
0,1.23,0.0,0.0,0.777,0.315,0,0,4,6,1,1,1,0.426,1.0,1.29546,2.0,2.22835
0,2.002,0.0,2.063,1.056,-1.695,0,0,6,8,3,1,1,0.389,1.0,1.37878,2.58496,2.28819
0,2.593,0.0,2.07,1.047,-2.152,0,0,7,8,4,1,1,0.488,0.89822,1.45656,2.52164,2.29769
0,4.041,11.02,2.201,8.097,-3.939,2,2,14,22,10,2,2,0.114,0.7257,1.19417,2.83523,3.009
0,3.585,10.964,2.178,6.714,-3.411,2,2,13,20,9,2,2,0.123,0.76988,1.21129,2.9312,3.01355
0,2.137,10.98,0.0,0.147,-2.411,3,3,14,12,6,5,2,0.181,0.70274,1.39935,2.98522,2.15919
0,2.337,11.101,0.0,0.611,-2.749,2,2,13,12,5,5,2,0.143,0.7628,1.32092,3.18083,2.33627
0,1.304,10.3,1.755,0.764,-1.047,2,2,8,10,4,2,2,0.197,0.94639,1.35164,3.0,2.92084
0,2.205,10.686,1.874,0.262,-2.531,2,2,11,12,5,4,4,0.151,0.86086,1.32578,3.27761,3.44077
0,2.028,0.0,0.0,2.067,-2.142,0,0,7,10,4,2,2,0.193,0.65007,1.22104,1.95021,2.57493
0,2.203,0.0,1.963,1.343,-2.725,1,1,8,10,4,2,2,0.283,0.94639,1.46275,3.0,2.93147
0,2.184,10.794,3.509,0.281,-1.793,2,2,10,12,4,3,3,0.159,0.92662,1.32217,3.32192,3.56388
0,4.563,11.094,0.0,9.044,-4.796,2,2,16,24,12,3,3,0.102,0.60687,1.18837,2.53063,3.02814
0,-3.322,10.091,3.822,1.572,-0.75,0,3,10,14,4,1,1,0.409,0.79665,1.63443,2.64643,3.18544
0,-1.815,0.0,1.715,0.611,0.542,0,2,5,10,1,0,0,0.479,0.96096,1.37527,1.92192,2.42593
